1.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,1,1,0,1,0,1
2,1,1,1,1,1,1,0,1
3,0,1,1,1,1,1,1,1
4,0,1,0,1,1,1,1,1
10.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,1,1,1,1
2,0,1,1,1,0,1,1,1
3,1,1,0,1,1,1,1,1
4,1,1,1,1,1,1,1,1
11.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,1,1,1,1
2,0,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
12.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,1,1,1,1
2,0,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
13.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,1,1,1,1
2,0,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
14.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,0,1,0,1
2,0,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1
4,0,1,1,1,1,1,1,1
15.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,0,1,0,1
2,0,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1
4,0,1,1,1,1,1,1,1
16.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,0,1,0,1
2,0,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1
4,0,1,1,1,1,1,1,1
17.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,0,1,0,1
2,0,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1
4,0,1,1,1,1,1,1,1
18.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,0,1,0,1
2,0,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1
4,0,1,1,1,1,1,1,1
19.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,0,1,0,1
2,0,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1
4,0,1,1,1,1,1,1,1
2.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,1,1,1,1,0,0
2,1,1,1,1,1,1,0,1
3,1,1,1,1,1,1,1,1
4,0,0,0,1,1,1,1,1
20.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,0,1,0,1
2,0,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1
4,0,1,1,1,1,1,1,1
21.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,0,1,0,1
2,0,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1
4,0,1,1,1,1,1,1,1
22.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,0,1,0,1
2,0,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1
4,0,1,1,1,1,1,1,1
23.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,1,0,1,0,1
2,0,1,1,1,0,1,1,1
3,0,1,0,1,1,1,1,1
4,0,1,1,1,1,1,1,1
24.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,1,0,1
3,0,0,0,1,1,1,1,1
4,0,0,0,1,1,1,1,1
25.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,1,0,0,0
2,0,0,1,1,0,1,0,1
3,1,0,0,1,1,1,1,1
4,0,0,0,1,1,1,1,1
26.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,1,0,1,0
2,0,0,1,1,0,1,1,1
3,1,0,0,1,1,1,1,1
4,1,0,1,1,1,1,1,1
27.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,1,0,0,0
2,0,0,1,1,0,0,1,1
3,1,0,0,0,1,1,1,0
4,0,0,1,1,1,0,1,1
28.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,1,0,0,0
2,0,0,1,1,0,0,0,1
3,1,0,0,0,1,1,1,0
4,0,0,0,1,1,0,1,1
29.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,1,0,0,0
2,0,0,1,1,0,0,0,0
3,1,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
3.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,1,0,1,0,1,0
2,1,0,1,1,1,1,1,1
3,1,0,1,1,1,1,1,1
4,1,0,1,1,1,1,1,1
30.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,1,0,0,0
2,0,0,1,1,0,0,0,0
3,1,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
31.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
32.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
33.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
34.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
35.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
36.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
37.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
38.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
39.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
4.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,1,0,1,0,1,0
2,1,0,1,1,1,1,1,1
3,1,0,1,1,1,1,1,1
4,1,0,1,1,1,1,1,1
40.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
41.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
42.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
43.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,1,0,0
2,0,0,1,1,0,0,0,0
3,0,1,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
44.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,1,0,0
2,0,0,1,1,0,0,0,0
3,0,1,0,0,1,1,1,0
4,0,0,0,0,1,0,1,1
45.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,1,0,0
2,0,0,1,1,0,0,0,0
3,0,1,0,0,1,1,0,0
4,0,0,0,0,0,0,1,1
46.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,0,0
4,0,0,0,0,0,0,1,1
47.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,0,0
4,0,0,0,0,0,0,1,1
48.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0
3,0,0,0,0,1,1,0,0
4,0,0,0,0,0,0,1,1
49.txt
