1.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
10.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
11.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
12.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
13.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
14.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
15.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
16.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
17.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
18.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
19.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
2.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
20.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
21.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
22.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
23.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
24.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
25.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
26.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
27.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
28.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
29.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
3.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
30.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
31.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
32.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
33.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
34.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
35.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
36.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
37.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
38.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
39.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
4.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
40.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
41.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
42.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
43.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,0,0,0,0
2,0,0,0,0
44.txt
-,1,-,2,-
