1.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
10.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
11.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
12.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
13.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
14.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
15.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
16.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
2.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
3.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
4.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
5.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
6.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
7.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
8.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
9.txt
-,1,-,2,-
Object,YY,XX,YY,XX
1,1,1,1,1
2,1,1,1,1
