1.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.5898392401268239,0.9999999999999998,-0.16043032795738132,0.8229087883838215,-0.6924247647178143,0.9376662646396108,0.4915118907738802,-0.9793332607700179
2,0.11927129291716182,0.8229087883838215,0.4221214330230485,1.0,0.22523436567388974,0.8152179249107131,-0.3154010539087848,-0.8850875328079613
3,0.9600959028659503,0.9376662646396108,0.9081532183729997,0.8152179249107132,0.9449111825230682,1.0,-0.948517322040787,-0.9410778556338325
4,0.9776585396008004,-0.9793332607700181,0.8740519860339186,-0.8850875328079613,0.9828432844218524,-0.9410778556338325,-0.9853910235867221,1.0
10.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.9791804313867878,1.0,0.9661236633688504,0.9956458572396041,0.9622142112802993,0.9860659677916248,0.9339425445507237,0.9853580087416681
2,0.9084805792516096,0.9956458572396041,0.8861059854400113,1.0,0.9040674059956537,0.9920512874729649,0.8409793645796269,0.9818925233414361
3,0.966485210861146,0.9860659677916248,0.9475617764956127,0.992051287472965,0.9474666050881231,1.0,0.9186221465235147,0.9697728995671658
4,0.8866162905305098,0.9853580087416681,0.855513594219367,0.9818925233414362,0.8858847332923402,0.9697728995671658,0.8516268969764789,1.0
11.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.9847927130807994,1.0,0.9727111135018001,0.9952138570429925,0.9730451556165427,0.9918953988037186,0.9505579815683158,0.9882376643117198
2,0.8698029944936092,0.9952138570429925,0.866650969611203,1.0,0.8299331795189652,0.9932950853070683,0.7953760926739065,0.9823655840294359
3,0.9498941475193261,0.9918953988037185,0.9416120745201172,0.9932950853070682,0.9176285128543683,0.9999999999999998,0.8999446488465179,0.9813527670926155
4,0.9803650241540686,0.9882376643117198,0.9618915715639034,0.982365584029436,0.9562847946307824,0.9813527670926154,0.9510207557672933,1.0
12.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.8786414985627264,1.0,0.8216669112392596,0.9911242811105152,0.8658245494169531,0.9938998618438936,0.8481501555472184,0.996093023305019
2,0.8533034568991021,0.9911242811105152,0.853464946760743,1.0,0.8394665976135576,0.9930164809081787,0.8281870023985407,0.987734835452498
3,0.7142306532166539,0.9938998618438937,0.6501330378843309,0.993016480908179,0.67749870578201,1.0,0.6813432149774489,0.9842842223501126
4,0.7484401206570495,0.996093023305019,0.6645932668220123,0.987734835452498,0.7120290049167712,0.9842842223501126,0.7221369353092852,1.0
13.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.7966880781476479,1.0,0.6940591112616601,0.9854409354644801,0.7689514187925419,0.972594388948763,0.766423167870775,0.997779545540501
2,0.7566351021553497,0.98544093546448,0.7385946241359823,1.0,0.7666701867398843,0.9780561813969303,0.7707755863034561,0.9892512910682072
3,0.40094898034293447,0.972594388948763,0.250894535301247,0.9780561813969302,0.28642326229218246,1.0,0.3847115278822511,0.9662502979131796
4,0.6451477883754295,0.997779545540501,0.5184650374363184,0.9892512910682072,0.5962334400266215,0.9662502979131796,0.6183176814603204,1.0
14.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.45715155473366503,1.0,0.33182521440551915,0.9606440242961076,0.4858163188989316,0.9689321579658203,0.3797179363633229,0.9891232761812351
