1.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.27726442612949287,0.9999999999999999,-0.3380333129788036,-0.9690679280852554,-0.37312363764785134,-0.8891870062016379,-0.5038890996998847,-0.6113467751494567
2,0.8751339145815684,-0.9690679280852554,-0.8069606985651846,1.0,-0.7020901089293711,0.9069842007338224,-0.38993161041051316,0.6404162168420074
3,0.6643645392044946,-0.8891870062016379,-0.6265902284457758,0.9069842007338224,-0.509839844847995,0.9999999999999998,-0.26920502273324914,0.7785912854864219
4,0.6272430143049955,-0.6113467751494567,-0.6964816339905641,0.6404162168420074,-0.5104585447741481,0.7785912854864219,-0.47640532037175204,1.0
10.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.32658712400257134,1.0,0.17666463439831093,-0.5250488042618268,-0.26737539895339424,-0.8564326434839659,-0.7561385558232562,-0.5716276824698743
2,0.8237149176240681,-0.5250488042618269,-0.08780286461216227,0.9999999999999998,-0.655228548153016,0.65744977408877,-0.8526742693016366,-0.2772304486263787
3,0.43944143032189986,-0.8564326434839657,0.4422607621701428,0.6574497740887699,-0.3065883140235203,1.0,-0.8631642514331983,0.35945880304942707
4,-0.27885525958844215,-0.5716276824698743,-0.13182104685530463,-0.27723044862637863,0.158029111930511,0.3594588030494271,0.4100378255822159,1.0
11.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.24080175304238824,1.0,0.38236448234284076,-0.363161413950375,-0.08362437401444804,-0.7841543620528569,-0.7777051860092279,-0.44324499591217925
2,0.7490045169334697,-0.363161413950375,0.19822688709707068,1.0,-0.4578411114074777,0.6092972306342087,-0.8392365901478812,-0.5758849237987541
3,0.36989334236016086,-0.7841543620528569,0.6437045827813537,0.6092972306342087,-0.10593996826307113,1.0,-0.8876223133576978,0.10891033610238947
4,-0.37822102471401287,-0.44324499591217925,-0.12902020348726453,-0.5758849237987541,0.1874635233046614,0.10891033610238947,0.4627337180238281,1.0
12.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.0002913226252557468,1.0,0.582011078812718,-0.28239907973457706,0.1949417177333855,-0.6982131488484141,-0.7632038283846411,-0.23295583885539406
2,0.5758416568520731,-0.28239907973457706,0.4662169127526663,1.0,-0.1501291002520364,0.6174973303319048,-0.8380527869929434,-0.7871798422450634
3,0.25895125076341174,-0.6982131488484141,0.7619526297470242,0.6174973303319049,0.0718348742356481,1.0,-0.8619774715112527,-0.20150579778444141
4,-0.4929751752662933,-0.23295583885539406,-0.03795973234744154,-0.7871798422450633,0.2780773041842963,-0.20150579778444141,0.3633972536229618,1.0
13.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.17724683065388475,1.0,0.5416574063556718,-0.3875632243197871,0.22266613883835362,-0.7873018766145173,-0.6669517634962425,0.05518961494654865
2,0.2762703054863789,-0.3875632243197871,0.6301503114633198,1.0,-0.03306898517557654,0.6471336828810245,-0.8428629794839649,-0.8735999287152447
3,0.10769744589230189,-0.7873018766145173,0.7954282983962916,0.6471336828810246,0.1559799773576013,1.0,-0.8655204036034602,-0.33074606051136907
4,-0.5423551975576264,0.05518961494654864,0.11358351256585841,-0.8735999287152446,0.32646208337182153,-0.330746060511369,0.14080360106085774,1.0
14.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.4485806731428666,1.0,0.6558918946049022,-0.5108737293148674,0.4472139237888248,-0.8040871931344478,-0.7038322889887225,0.31106562560864665
2,-0.03048573463342822,-0.5108737293148675,0.7521331100466798,0.9999999999999999,0.22606030783398398,0.7291783568498588,-0.8594701052640866,-0.9259749704121937
3,-0.1015503238327769,-0.8040871931344478,0.8380362443348215,0.7291783568498587,0.3318032615814996,1.0,-0.8736941554896671,-0.5281190239102045
4,-0.5318192376903801,0.31106562560864665,0.35296740645643176,-0.9259749704121938,0.42342615710623654,-0.5281190239102045,-0.21803958726484257,1.0
15.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.5615411077103899,0.9999999999999999,0.6891346586907269,-0.6142664684566831,0.5694369775094592,-0.8286999871742318,-0.712491180996846,0.4962120467568918
2,-0.10227129272821185,-0.6142664684566831,0.71380343435953,1.0,0.2949648218376106,0.8088876831577173,-0.7915080792178303,-0.9570315718454993
3,-0.27590025186796185,-0.8286999871742319,0.86838267870936,0.8088876831577173,0.49166188606925054,0.9999999999999999,-0.894429676671432,-0.7017158561972725
4,-0.6281899501113873,0.49621204675689184,0.5237094817210285,-0.9570315718454993,0.5680110253730257,-0.7017158561972725,-0.45062593270922097,1.0
16.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.6000543066501062,0.9999999999999999,0.7221229544964837,-0.7591485324529512,0.5879330804437191,-0.8795565609900576,-0.7390112895930068,0.6635587699151608
2,-0.3740389967800733,-0.7591485324529511,0.7281530950082599,1.0,0.4585228732774263,0.8599300463055377,-0.8143767217443122,-0.9580026405171916
3,-0.4415124764328115,-0.8795565609900575,0.8561101252721436,0.8599300463055377,0.5512934549954913,0.9999999999999998,-0.8746766823891211,-0.7762524146493567
4,-0.6865571372234207,0.6635587699151607,0.6320402282203135,-0.9580026405171916,0.6439173978710311,-0.7762524146493566,-0.5759283138694867,1.0
17.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.6335544714178696,0.9999999999999999,0.752950748457748,-0.8385905557934354,0.6099450758717431,-0.8987247071938733,-0.7744323534805658,0.7632082400494471
2,-0.47265980525506046,-0.8385905557934353,0.6988762102324079,1.0,0.48311812956585615,0.8894491923654868,-0.7801642150788861,-0.9603326473599155
3,-0.5404728282464788,-0.8987247071938733,0.8429356407840174,0.8894491923654867,0.5830376398143094,1.0,-0.853743433686133,-0.8281499679499513
4,-0.7375126249183815,0.7632082400494472,0.7046871542733182,-0.9603326473599155,0.7274612332748159,-0.8281499679499513,-0.6668139117502991,1.0
18.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.6921543384154678,1.0,0.7947072038585896,-0.9019723179795903,0.6692889867636942,-0.916440392559929,-0.8022519178790024,0.8257449087510872
2,-0.591331809064685,-0.9019723179795904,0.6976467082734764,1.0,0.5553171182549207,0.9220885801502052,-0.7851473340825559,-0.9601347872158102
3,-0.6953204832015805,-0.9164403925599289,0.8635163853705105,0.9220885801502051,0.6807670064657986,1.0,-0.8807961249610192,-0.859218249596811
4,-0.7755788326863083,0.8257449087510871,0.7582972576376881,-0.9601347872158104,0.7658958939973534,-0.8592182495968109,-0.7132974583292564,1.0
19.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.6953530464441736,1.0,0.7921421714099791,-0.9407287965268654,0.6627869495866129,-0.9294592052880477,-0.8104949845649062,0.8636728762016014
2,-0.6423318314847133,-0.9407287965268653,0.7197747795071964,0.9999999999999999,0.6026484048274933,0.9386853948171741,-0.7873039246253483,-0.9537290854972673
3,-0.734550873083138,-0.9294592052880478,0.8644625736307122,0.9386853948171742,0.7028316575703907,1.0,-0.8777590561223854,-0.8691732726962234
4,-0.8008544494767007,0.8636728762016015,0.8093208292107777,-0.9537290854972674,0.803170290859238,-0.8691732726962232,-0.7452298036764397,0.9999999999999999
2.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.2619936472728148,1.0,-0.3346006885095424,-0.9624979722076182,-0.32565045805134474,-0.9302769029906184,-0.4515426458488899,-0.7800429716369354
2,0.8855291200781806,-0.9624979722076182,-0.8164669930948153,1.0,-0.7876381671914393,0.9208843753519507,-0.6227269118628036,0.761789885249879
3,0.678375474735963,-0.9302769029906185,-0.6335854312108639,0.9208843753519507,-0.5794186518518424,1.0,-0.44575203632717414,0.8437541667200151
4,0.5763913275109239,-0.7800429716369353,-0.6705506375161775,0.761789885249879,-0.47669068378720947,0.8437541667200151,-0.5049823258704337,0.9999999999999999
20.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.6894152350729542,1.0,0.7603388993783182,-0.9617148088438625,0.6403772611015764,-0.9326377033663946,-0.7900725423276725,0.8940932506566099
2,-0.653378185723499,-0.9617148088438625,0.7174071375334902,0.9999999999999999,0.6109034950152662,0.9525237372983892,-0.7894712338241118,-0.9478560756024502
3,-0.6915227943912957,-0.9326377033663945,0.7754834075822703,0.9525237372983892,0.6231321143257997,0.9999999999999999,-0.8139146838088842,-0.8834284267940898
4,-0.8139335938073908,0.8940932506566099,0.8217216399015189,-0.9478560756024501,0.8200268287736332,-0.8834284267940897,-0.7486118656730235,1.0
21.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.6989236239270331,1.0,0.7514625777900089,-0.9657056285561221,0.6732130433866297,-0.9356863613500445,-0.7273876583903539,0.9025030454335286
2,-0.4417882292988178,-0.965705628556122,0.4336873255305741,1.0,0.3889877146874441,0.966207363668057,-0.5861686034559483,-0.9299568466302601
3,-0.6814896470212926,-0.9356863613500446,0.7323501443323346,0.966207363668057,0.6218885810858639,1.0,-0.7553562271487178,-0.8986654486972111
