1.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,1,1,0,0
3,0,0,1,1,1,1,0,0
4,0,0,0,0,0,0,1,1
10.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,1,0,0
3,0,0,0,1,1,1,0,0
4,0,0,0,0,0,0,1,1
11.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,1,0,0
3,0,0,0,1,1,1,0,0
4,0,0,0,0,0,0,1,1
2.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,1,0,0
3,0,0,0,1,1,1,0,0
4,0,0,0,0,0,0,1,1
3.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,1,0,0
3,0,0,0,1,1,1,0,0
4,0,0,0,0,0,0,1,1
4.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,1,0,0
3,0,0,0,1,1,1,0,0
4,0,0,0,0,0,0,1,1
5.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,1,0,0
3,0,0,0,1,1,1,0,0
4,0,0,0,0,0,0,1,1
6.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,1,0,0,0
2,0,0,1,1,0,1,0,0
3,1,0,0,1,1,1,0,0
4,0,0,0,0,0,0,1,1
7.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,1,0,0,0
2,0,0,1,1,0,1,0,0
3,1,0,0,1,1,1,0,0
4,0,0,0,0,0,0,1,1
8.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,1,0,0
3,0,0,0,1,1,1,0,0
4,0,0,0,0,0,0,1,1
9.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1,1,0,0,0,0,0,0
2,0,0,1,1,0,1,0,0
3,0,0,0,1,1,1,0,0
4,0,0,0,0,0,0,1,1
