1.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,-0.24660461366899455,0.16274398799013767,-0.40846231161422797,0.2197384889742335,-0.224833655726451,-0.25411922294328326
2,-0.24660461366899453,0.16274398799013767,1.0,1.0,0.6570810240741392,0.08955608847756334,-0.1021288745539538,0.16002894737723683
3,-0.40846231161422797,0.2197384889742335,0.6570810240741392,0.08955608847756333,0.9999999999999999,1.0,0.24830084010660386,0.7177133872430466
4,-0.22483365572645098,-0.25411922294328326,-0.10212887455395381,0.16002894737723683,0.24830084010660386,0.7177133872430466,0.9999999999999999,1.0
10.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.3919777984348147,-0.29123456981210216,0.25988909221102097,0.35419511428761186,0.2218555940980246,-0.18467825572672272
2,0.3919777984348147,-0.29123456981210216,1.0,0.9999999999999999,0.7112148435152763,0.30390453797232114,0.3057149564837484,0.574366360198382
3,0.2598890922110209,0.35419511428761186,0.7112148435152763,0.30390453797232114,1.0,0.9999999999999999,0.5687248807534087,0.5713113672317485
4,0.22185559409802463,-0.18467825572672275,0.3057149564837484,0.574366360198382,0.5687248807534087,0.5713113672317485,1.0,1.0
11.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.4418678586431816,-0.33607005471770024,0.30018965157401656,0.35242778398490426,0.2696315670060457,-0.2289297546961046
2,0.4418678586431816,-0.33607005471770024,1.0,1.0,0.750024098921892,0.19875696439284465,0.36296715290898035,0.4647176516967514
3,0.3001896515740166,0.35242778398490426,0.750024098921892,0.19875696439284468,1.0,1.0,0.6001603194371296,0.5208632922391715
4,0.2696315670060457,-0.2289297546961046,0.3629671529089803,0.4647176516967514,0.6001603194371294,0.5208632922391715,1.0,1.0
12.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.47989497682438914,-0.351987247535066,0.33053615537308734,0.3164213211360086,0.2886254307068829,-0.2821218342149062
2,0.4798949768243892,-0.351987247535066,1.0,1.0,0.747903084701211,0.07707337408891941,0.38314836648978456,0.32667185745050564
3,0.33053615537308734,0.3164213211360086,0.747903084701211,0.07707337408891941,0.9999999999999999,1.0,0.626740082504365,0.48573179088779633
4,0.2886254307068829,-0.2821218342149062,0.38314836648978456,0.32667185745050564,0.626740082504365,0.4857317908877963,1.0,0.9999999999999998
13.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.5198964190233994,-0.3529190492538915,0.3571184751203593,0.3041881166107124,0.30595689715854074,-0.362718693158401
2,0.5198964190233994,-0.3529190492538915,1.0,1.0,0.7592145482312708,-0.002804656942423083,0.4194889078995537,0.14853157554832946
3,0.3571184751203593,0.3041881166107124,0.7592145482312708,-0.002804656942423083,1.0,1.0,0.649270706184437,0.41882551652900474
4,0.30595689715854074,-0.362718693158401,0.4194889078995537,0.14853157554832944,0.649270706184437,0.4188255165290048,0.9999999999999998,1.0
14.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.5372840683814655,-0.321951510551367,0.40408054787902475,0.26476556344010954,0.34559962919343123,-0.41087405698767643
