1.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.9918958230428393,0.9962174544336753,0.9750548594159685,0.9972170402493274,0.9610179999673668,0.9898731950411763
2,0.9918958230428393,0.9962174544336753,0.9999999999999998,0.9999999999999999,0.9923773969324429,0.9986650625365852,0.9823981384463084,0.9954982156187671
3,0.9750548594159685,0.9972170402493273,0.992377396932443,0.998665062536585,1.0,1.0,0.9956375459509355,0.9934124279157155
4,0.9610179999673667,0.9898731950411763,0.9823981384463084,0.995498215618767,0.9956375459509355,0.9934124279157155,1.0,1.0
10.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.9871825597271692,0.9706245789495375,0.9777271994707595,0.9829278124118304,0.9618010337453694,0.9835145476205644
2,0.9871825597271691,0.9706245789495375,1.0,1.0,0.9958428060639518,0.996528674436701,0.9820617040678693,0.9537253249151962
3,0.9777271994707595,0.9829278124118305,0.9958428060639519,0.9965286744367009,0.9999999999999999,1.0,0.9914382613502841,0.9662771149218704
4,0.9618010337453694,0.9835145476205644,0.9820617040678693,0.9537253249151962,0.9914382613502841,0.9662771149218703,1.0,1.0
11.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.9804029290011335,0.9515547251797772,0.9672641217183573,0.9699151086807122,0.9456006977164993,0.9775010516105793
2,0.9804029290011335,0.9515547251797772,1.0,1.0,0.9940188668954812,0.9958187058724419,0.9745789052127469,0.9463281669041607
3,0.9672641217183573,0.9699151086807122,0.9940188668954812,0.9958187058724418,1.0,0.9999999999999999,0.9878627820679874,0.9617163003608751
4,0.9456006977164992,0.9775010516105794,0.974578905212747,0.9463281669041607,0.9878627820679874,0.961716300360875,1.0,1.0
12.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.9542430409999841,0.930689718819208,0.9322920480135628,0.9577737255742615,0.888010415037422,0.9637661015311731
2,0.9542430409999841,0.9306897188192081,1.0,1.0,0.9885859070899459,0.9945989097574109,0.952143255809416,0.9387556155715484
3,0.9322920480135628,0.9577737255742615,0.988585907089946,0.9945989097574109,0.9999999999999998,1.0,0.9749691541622484,0.9567630895041805
4,0.8880104150374221,0.9637661015311731,0.952143255809416,0.9387556155715484,0.9749691541622485,0.9567630895041804,1.0,1.0
13.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.8880634357115267,0.8920333637006292,0.8329522387015129,0.9236251614296265,0.6992704882264685,0.925409371396749
2,0.8880634357115267,0.8920333637006291,1.0,0.9999999999999999,0.9721885729279627,0.9945334520740666,0.8731605864398403,0.929195296754678
3,0.8329522387015129,0.9236251614296264,0.9721885729279626,0.9945334520740666,1.0,1.0,0.9301959195634599,0.9458636005295682
4,0.6992704882264686,0.925409371396749,0.8731605864398403,0.929195296754678,0.9301959195634598,0.9458636005295682,1.0,1.0
14.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999998,0.8840612337524097,0.8055376654919624,0.8547133505177514,0.8600133398780623,0.7793352740300711,0.8279520513299117
2,0.8840612337524097,0.8055376654919624,1.0,1.0,0.9829379183244338,0.9923702577846464,0.9381475498120205,0.9082391219079271
3,0.8547133505177513,0.8600133398780624,0.9829379183244338,0.9923702577846463,1.0,1.0,0.9486044574831182,0.931922062618435
4,0.7793352740300711,0.8279520513299118,0.9381475498120205,0.908239121907927,0.9486044574831181,0.9319220626184349,0.9999999999999998,1.0
15.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.8899296093009392,0.687119083958941,0.8905493783700129,0.7531315643271193,0.8324335491066615,0.6608867988428491
2,0.8899296093009392,0.6871190839589408,0.9999999999999998,1.0,0.9882612737446907,0.9919816309958011,0.9519498165367288,0.8924041393713974
3,0.8905493783700129,0.7531315643271191,0.9882612737446907,0.9919816309958011,1.0,1.0,0.9466454592466379,0.9094523058299468
4,0.8324335491066616,0.6608867988428491,0.9519498165367288,0.8924041393713975,0.9466454592466379,0.909452305829947,1.0,1.0
16.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999998,0.8424359336429571,0.45994801955740083,0.8839105554334427,0.5229943009119532,0.793928039374732,0.3563259030700195
2,0.842435933642957,0.45994801955740083,0.9999999999999998,1.0,0.981034220612929,0.9914450376986457,0.949289105890139,0.8689589466639854
3,0.8839105554334428,0.5229943009119531,0.9810342206129289,0.9914450376986457,0.9999999999999998,0.9999999999999998,0.9363065342869783,0.8794924824909925
4,0.7939280393747321,0.3563259030700195,0.9492891058901392,0.8689589466639854,0.9363065342869782,0.8794924824909927,1.0,0.9999999999999999
17.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.8285116463683343,0.026520383310794225,0.8718767100574243,0.03191540566768749,0.7592385420886457,-0.0803447059923014
2,0.8285116463683342,0.026520383310794225,0.9999999999999998,1.0,0.9793695691693666,0.9910458004687016,0.9494764219944017,0.8351988802753276
3,0.8718767100574244,0.031915405667687496,0.9793695691693666,0.9910458004687016,1.0,1.0,0.9381148213953568,0.8421777405716464
4,0.7592385420886457,-0.08034470599230141,0.9494764219944017,0.8351988802753276,0.9381148213953567,0.8421777405716464,0.9999999999999998,1.0
18.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,0.9999999999999999,1.0,0.830554089904432,-0.3723973486542327,0.855127279172916,-0.4050053061320942,0.722536475948829,-0.459733618457514
2,0.830554089904432,-0.3723973486542327,0.9999999999999998,1.0,0.9763926095719075,0.9878944587007975,0.9352381912083206,0.7947020113402611
3,0.855127279172916,-0.4050053061320942,0.9763926095719075,0.9878944587007975,1.0,1.0,0.9287639691844347,0.7955458292306822
4,0.722536475948829,-0.4597336184575139,0.9352381912083206,0.794702011340261,0.9287639691844346,0.7955458292306822,0.9999999999999998,1.0
19.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999998,0.8221408497158931,-0.6255543916798205,0.8419777254101349,-0.7160699416117604,0.6764831942173061,-0.6502871629686204
2,0.8221408497158931,-0.6255543916798206,1.0,1.0,0.9729713363530852,0.9811822348754917,0.9164652682725106,0.7635936956927506
3,0.8419777254101349,-0.7160699416117603,0.9729713363530853,0.9811822348754916,1.0,1.0,0.9109183161386709,0.7567620396199581
4,0.6764831942173061,-0.6502871629686204,0.9164652682725107,0.7635936956927506,0.9109183161386709,0.7567620396199581,1.0,1.0
2.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
