1.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.8002887708188482,0.7916476111375947,0.6182538353000556,0.8203524838037927,0.3140251816869267,0.7564366212709128
2,0.8002887708188481,0.7916476111375949,0.9999999999999999,1.0,0.6988896615442646,0.9836729638739782,0.4718351933984428,0.9950730684117062
3,0.6182538353000556,0.8203524838037927,0.6988896615442646,0.9836729638739783,1.0,0.9999999999999999,0.8523818822645478,0.9864122798130985
4,0.31402518168692667,0.7564366212709127,0.4718351933984429,0.9950730684117062,0.8523818822645478,0.9864122798130985,1.0,1.0
10.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,1.0,0.556658126034665,0.8513132684257,0.7573443773558461,0.9150137313172005,0.8076525397409007,0.7983818232445976
2,0.5566581260346649,0.8513132684257,1.0,1.0,0.6485662727681349,0.9776600198004941,0.6703140349304435,0.9865453001965792
3,0.7573443773558461,0.9150137313172007,0.6485662727681349,0.9776600198004941,0.9999999999999998,1.0,0.8713372694834876,0.9664951565557243
4,0.8076525397409008,0.7983818232445977,0.6703140349304435,0.9865453001965792,0.8713372694834874,0.9664951565557243,1.0,1.0
11.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999998,0.49968174427661133,0.9359280124303598,0.6930511357955479,0.960218721735874,0.734772136571119,0.900102522662512
2,0.49968174427661133,0.9359280124303598,1.0,0.9999999999999999,0.7031714773677761,0.9816391643066592,0.7157661767265265,0.989004912611705
3,0.6930511357955479,0.960218721735874,0.7031714773677761,0.9816391643066592,0.9999999999999998,0.9999999999999999,0.847095240843068,0.9756708367130279
4,0.7347721365711188,0.9001025226625119,0.7157661767265266,0.989004912611705,0.8470952408430679,0.975670836713028,1.0,0.9999999999999999
12.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,1.0,0.9999999999999998,0.47960273532774006,0.9592572970767562,0.7189884350346566,0.9764925001934335,0.7254070796284134,0.9358796720973498
2,0.47960273532774,0.9592572970767562,1.0,1.0,0.7197163509697245,0.9833717354359856,0.7330474979800661,0.9910684304441885
3,0.7189884350346566,0.9764925001934335,0.7197163509697245,0.9833717354359856,1.0,0.9999999999999999,0.8191952602829108,0.9808548319266243
4,0.7254070796284134,0.9358796720973497,0.7330474979800661,0.9910684304441885,0.8191952602829107,0.9808548319266243,0.9999999999999999,0.9999999999999999
13.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
